Famous_Person,Muncipality
"Jakob Ulrich Albertini (1667–1726), Sohn des Jacob Ulrich, trat 1686 in spanische Kriegsdienste. 1695 wurde er Oberst des in spanischen Diensten stehenden Bündnerregiments.",La Punt Chamues-ch
"Johann Baptist Albertini (1769–1831), Sohn des Hauptmanns Jakob Ulrich, der 1763 nach Neuwied zog und sich dort der Herrnhuter Brüdergemeine anschloss. Er trat 1782 als Zögling in das Pädagogium in Niesky und 1785 in das theologische Seminar zu Barby ein.",La Punt Chamues-ch
"Christoph Albertini (* Februar 1776 in La Punt; † 23. Dezember 1848 in Chur), Sohn des Landeshauptmanns Peter, Präsident des Gotteshausbundes und Bürgermeister von Chur.",La Punt Chamues-ch
"Jacques Albertini (* 21. März 1861 in Punt Chamues; †), studierte in Zürich, München, Pisa, Jena und Berlin und wurde 1887 zum Doktor juris promoviert; 1909 Oberst der Infanterie; 1913 Grossratsabgeordneter dea Kreises Oberengadin.",La Punt Chamues-ch
"Martina Linn, Musikerin",La Punt Chamues-ch
Familie Jacomella aus Lostallo,Lostallo
Familie Tonella aus Cabbiolo,Lostallo
"Franco Binda (* 1925 in Lostallo; † 23. August 2019 in Locarno), er gründete den Museo della Valle Verzasca, Forscher, Lokalarchäolog, Publizist",Lostallo
"Gerry Mottis (* 14. Oktober 1975 in Locarno), Dozent in Giubiasco und Roveredo GR, Dichter, Schriftsteller und Dramaturg, wohnt in Lostallo und Rivera TI",Lostallo
"Fabiana Mottis (* 9. August 2003), Volleyballspielerin (Rookie of the Year 2021), Nomination zur «Bündner Sportlerin des Jahres» 2022, aufgewachsen in Lostallo",Lostallo
"Georg Fient (1845–1915), Lehrer, Beamter, Zeitungsredaktor und Mundartschriftsteller",Luzein
"Johannes Comander (um 1484–1557), Theologe und Reformator",Maienfeld
"Hortensia Gugelberg von Moos (1659–1715), Ärztin und Schriftstellerin",Maienfeld
"Michael Kuoni (1839–1891), Chef des Eidg. Telegraphenbüros und Mundartautor",Maienfeld
"Theophil Sprecher von Bernegg (1850–1927), Generalstabschef der Schweizerischen Armee während des Ersten Weltkrieges",Maienfeld
"Hermann Mooser (1891–1971), Biologe und Mediziner",Maienfeld
"Fritz Tanner (1923–1996), Theologe und Eheberater",Maienfeld
"Konrad Grebel (1498–1526), Mitbegründer der Täuferbewegung, verstarb in Maienfeld an der Pest",Maienfeld
"Johann Conrad Meyer (1544–18. Juni 1604), Bürgermeister in Schaffhausen, flüchtete nach einem Konkurs nach Maienfeld und wurde Schullehrer",Maienfeld
"Bartholomäus Anhorn der Ältere (1566–1642), evangelisch-reformierter Pfarrer und Historiker in Graubünden und Appenzell, in Maienfeld 1596–1621",Maienfeld
"Antonio Molina (* um 1585 in Buseno; † nach 29. Dezember 1650 ebenda), Sohn des Orazio, studierte in Paris, Oberst im Dienst der Franzosen, Oberbürgermeister im Traona (1613–1615), Landvogt im Maienfeld (1630–1631) (1641–1643)",Maienfeld
"John Knittel (1891–1970), Schriftsteller, lebte nach 1938 in Maienfeld",Maienfeld
"Hansjörg Trachsel (* 1948), Politiker, wohnt in Maienfeld",Maienfeld
"Armon Orlik (* 1995), Schwinger, wohnt in Maienfeld",Maienfeld
"Petrus Domenicus Rosius à Porta (1734–1806), reformierter Pfarrer in Masein 1757–1758 und Kirchenhistoriker",Masein
"Peter Anton Feldscher (1889–1979), Jurist und Diplomat",Masein
"Gian Marchet Colani (1772–1837), legendärer Jäger und Büchsenmacher",Pontresina
"Wilhelm Conrad Röntgen (1845–1923), Nobelpreisträger für Physik; er verbrachte oft hier seine Sommerurlaube",Pontresina
