Famous_Person,Muncipality
"Paul Rée (1849–1901 in Celerina), empiristischer Philosoph und Arzt",Celerina/Schlarigna
"Reto R. Bezzola (1898–1983), Romanist und Herausgeber eines Standardwörterbuchs",Celerina/Schlarigna
"Vitale Ganzoni (* 1915 in Promontogno) (Bürgerort Celerina/Schlarigna), Maler, Holzbildhauer",Celerina/Schlarigna
"Peter Issler (1922–2010), Architekt",Celerina/Schlarigna
"Giuliano Pedretti (1924–2012), Zeichner, Sgraffitokünstler und Bildhauer",Celerina/Schlarigna
"Gian Pedretti (* 1926), Plastiker, Maler und Schriftsteller",Celerina/Schlarigna
"Erica Pedretti (1930–2022), Schriftstellerin, Objektkünstlerin und Malerin",Celerina/Schlarigna
"Rem Koolhaas (* 1944), Architekt",Celerina/Schlarigna
"Nico Baracchi (1957–2015), Skeleton- und Bobpilot",Celerina/Schlarigna
"Barbara Hosch (* 1980), Skeletonpilotin",Celerina/Schlarigna
"Samuel Plattner (1838–1908), Jurist, Journalist und Bühnenautor",Churwalden
"Friedrich Brügger (* 21. März 1854 in Churwalden; † 29. Januar 1930 in Chur), Schweizer Korpskommandant",Churwalden
"Heini Hemmi (* 17. Januar 1949 in Churwalden), ehemaliger Schweizer Skirennfahrer und Olympiasieger",Churwalden
"Lucius Burckhardt (1925–2003), Soziologe und Nationalökonom",Davos
"Carl Dorno (1865–1942), Naturforscher und Gründer des PMOD",Davos
"Peter Heintz (1920–1983), Soziologe, Gründer des Soziologischen Instituts der Universität Zürich",Davos
Marianne Leuzinger-Bohleber (* 1947) Psychoanalytikerin,Davos
"Jan Schulze (* 1942), Mediziner, Hochschullehrer, ärztlicher Standespolitiker",Davos
"Walter Siegenthaler (1923–2010), Mediziner",Davos
"Alexander Spengler (1827–1901), Arzt",Davos
"Carl Spengler (1860–1937), Arzt und Eishockeyspieler und Stifter des Spenglercup",Davos
"Lucius Spengler (1858–1923), Arzt",Davos
"Martin Accola (1928–2012), Geistlicher",Davos
"Philipp Bauknecht (1884–1933), Künstler",Davos
"Pascal Bergamin (* 1979), Filmemacher",Davos
"Valentin Bühler (1835–1912), Jurist; Verfasser des ersten Wörterbuchs über die Mundart von Davos",Davos
"Conradin Clavuot (* 1962), Architekt",Davos
